epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,2023.29,0.62315,0.36403,0.92283,0.0455,0.09322,0.00666,0.00288,1.29196,6.83548,1.25382,0.00010729,0.00010729,0.00010729
90,2045.8,0.64801,0.38192,0.92784,0.0531,0.10218,0.00643,0.00285,1.29883,6.80657,1.25348,9.90437e-05,9.90437e-05,9.90437e-05
91,2078.45,0.63617,0.34351,0.91284,0.03695,0.0904,0.00457,0.002,1.2885,6.97087,1.25751,9.0797e-05,9.0797e-05,9.0797e-05
92,2100.85,0.59639,0.32082,0.90101,0.03713,0.08644,0.00402,0.00177,1.28355,6.89927,1.25606,8.25503e-05,8.25503e-05,8.25503e-05
93,2123.21,0.60318,0.32567,0.89792,0.03868,0.08531,0.00401,0.00181,1.29136,6.87664,1.25798,7.43036e-05,7.43036e-05,7.43036e-05
94,2145.52,0.59334,0.32941,0.92045,0.04111,0.08418,0.00389,0.00177,1.29374,6.94884,1.25722,6.60569e-05,6.60569e-05,6.60569e-05
95,2167.91,0.60362,0.31949,0.89524,0.04174,0.08305,0.00385,0.00166,1.29477,6.99716,1.25855,5.78102e-05,5.78102e-05,5.78102e-05
96,2190.37,0.58756,0.31637,0.90005,0.04308,0.08249,0.0035,0.00171,1.27948,7.01225,1.24655,4.95635e-05,4.95635e-05,4.95635e-05
97,2212.52,0.58076,0.31231,0.89974,0.04599,0.08305,0.00409,0.0018,1.29258,7.03136,1.24994,4.13168e-05,4.13168e-05,4.13168e-05
98,2234.61,0.55785,0.30211,0.88245,0.04319,0.08192,0.00353,0.00155,1.29269,7.06266,1.25268,3.30701e-05,3.30701e-05,3.30701e-05
99,2256.88,0.55903,0.31029,0.88406,0.04319,0.08192,0.00362,0.00168,1.28547,7.07149,1.24827,2.48234e-05,2.48234e-05,2.48234e-05
100,2279.34,0.5675,0.31133,0.89328,0.04513,0.08249,0.00384,0.00184,1.28856,7.11067,1.25099,1.65767e-05,1.65767e-05,1.65767e-05
